season,home_team_name,away_team_name,full_time_result,home_goals,away_goals,half_time_HOME_Team_score,half_time_Away_Team_score
2015,West Bromwich Albion,Tottenham,D,1,1,1,1
2015,Everton,Stoke,A,3,4,1,2
2015,Stoke,Arsenal,D,0,0,0,0
2015,West Ham,Liverpool,H,2,0,1,0
2015,Swansea,West Ham,D,0,0,0,0
2015,Newcastle United,West Bromwich Albion,H,1,0,1,0
2015,West Ham,Manchester City,D,2,2,1,1
2015,Tottenham,Chelsea,D,0,0,0,0
2015,Swansea,Arsenal,A,0,3,0,0
2015,West Ham,Everton,D,1,1,1,1
2015,Aston Villa,Arsenal,A,0,2,0,2
2015,Leicester,Manchester City,D,0,0,0,0
2015,Swansea,Watford,H,1,0,1,0
2015,Aston Villa,Crystal Palace,H,1,0,0,0
2015,Watford,Liverpool,H,3,0,2,0
2015,Southampton,West Ham,H,1,0,1,0
2015,Arsenal,Southampton,D,0,0,0,0
2015,West Ham,West Bromwich Albion,D,1,1,1,0
2015,Tottenham,Aston Villa,H,3,1,2,0
2015,Chelsea,Norwich,H,1,0,0,0
2015,Bournemouth,Manchester United,H,2,1,1,1
2015,Manchester United,Chelsea,D,0,0,0,0
2015,Tottenham,Sunderland,H,4,1,1,1
2015,Bournemouth,West Ham,A,1,3,1,0
2015,West Bromwich Albion,Bournemouth,A,1,2,0,0
2015,Stoke,Everton,A,0,3,0,3
2015,Leicester,Liverpool,H,2,0,0,0
2015,Arsenal,Sunderland,H,3,1,1,1
2015,Watford,West Ham,H,2,0,1,0
2015,Crystal Palace,Sunderland,A,0,1,0,0
2015,Crystal Palace,Southampton,H,1,0,1,0
2015,Norwich,Aston Villa,H,2,0,1,0
2015,Arsenal,Chelsea,A,0,1,0,1
2015,Swansea,Sunderland,A,2,4,2,1
2015,Aston Villa,West Ham,D,1,1,0,1
2015,Swansea,Crystal Palace,D,1,1,1,0
2015,Norwich,Tottenham,A,0,3,0,2
2015,Chelsea,Bournemouth,A,0,1,0,0
2015,West Bromwich Albion,Leicester,A,2,3,1,0
2015,Everton,Aston Villa,H,4,0,3,0
2015,Leicester,Chelsea,H,2,1,1,0
2015,Sunderland,Liverpool,A,0,1,0,0
2015,Crystal Palace,Tottenham,A,1,3,1,0
2015,Liverpool,Arsenal,D,3,3,2,2
2015,Bournemouth,Crystal Palace,D,0,0,0,0
2015,Tottenham,Watford,H,1,0,0,0
2015,Sunderland,Manchester City,A,0,1,0,1
2015,Everton,Crystal Palace,D,1,1,0,0
2015,Arsenal,Tottenham,D,1,1,0,1
2015,Manchester City,Liverpool,A,1,4,1,3
2015,Liverpool,West Bromwich Albion,D,2,2,1,1
2015,Watford,Tottenham,A,1,2,1,1
2015,Everton,Swansea,A,1,2,1,2
2015,Chelsea,West Bromwich Albion,D,2,2,1,1
2015,Chelsea,Watford,D,2,2,1,1
2015,Arsenal,Leicester,H,2,1,0,1
2015,Watford,Chelsea,D,0,0,0,0
2015,Manchester United,West Ham,D,0,0,0,0
2015,Aston Villa,Manchester City,D,0,0,0,0
2015,Newcastle United,Leicester,A,0,3,0,1
2015,Manchester City,Swansea,H,2,1,1,0
2015,West Bromwich Albion,Newcastle United,H,1,0,0,0
2015,Leicester,Stoke,H,3,0,1,0
2015,Manchester City,Everton,D,0,0,0,0
2015,Liverpool,Leicester,H,1,0,0,0
2015,Aston Villa,Liverpool,A,0,6,0,2
2015,West Ham,Aston Villa,H,2,0,0,0
2015,Newcastle United,Liverpool,H,2,0,0,0
2015,Bournemouth,Newcastle United,A,0,1,0,1
2015,Southampton,Stoke,A,0,1,0,1
2015,Norwich,Everton,D,1,1,0,1
2015,West Ham,Southampton,H,2,1,0,1
2015,Manchester United,Southampton,A,0,1,0,0
2015,Newcastle United,Manchester United,D,3,3,1,2
2015,Manchester City,Sunderland,H,4,1,3,0
2015,Bournemouth,Stoke,A,1,3,0,1
2015,Crystal Palace,Bournemouth,A,1,2,1,1
2015,Southampton,Aston Villa,D,1,1,0,1
2015,Leicester,Watford,H,2,1,0,0
2015,Swansea,Bournemouth,D,2,2,2,2
2015,Sunderland,Watford,A,0,1,0,1
2015,Arsenal,Newcastle United,H,1,0,0,0
2015,Norwich,Liverpool,A,4,5,2,1
2015,Southampton,Watford,H,2,0,1,0
2015,Newcastle United,Everton,A,0,1,0,0
2015,Chelsea,Newcastle United,H,5,1,3,0
2015,Manchester United,Stoke,H,3,0,2,0
2015,Stoke,Manchester City,H,2,0,2,0
